
    # |      % | total% | amount | word
 ---------------------------------------
    1 |  8.830 |  8.830 |   1962 | sa 
    2 |  4.033 | 12.863 |    896 | nga 
    3 |  3.853 | 16.715 |    856 | ang 
    4 |  2.345 | 19.060 |    521 | mga 
    5 |  1.881 | 20.942 |    418 | ug 
    6 |  1.206 | 22.148 |    268 | og 
    7 |  1.193 | 23.340 |    265 | ko 
    8 |  1.071 | 24.412 |    238 | na 
    9 |  0.900 | 25.312 |    200 | dili 
   10 |  0.846 | 26.158 |    188 | ka 
   11 |  0.770 | 26.927 |    171 | kay 
   12 |  0.743 | 27.670 |    165 | si 
   13 |  0.734 | 28.404 |    163 | ni 
   14 |  0.653 | 29.056 |    145 | gyud 
   15 |  0.572 | 29.628 |    127 | iyang 
   16 |  0.563 | 30.190 |    125 | lang 
   17 |  0.558 | 30.748 |    124 | pa 
   18 |  0.509 | 31.257 |    113 | siya 
   19 |  0.446 | 31.703 |     99 | man 
   20 |  0.401 | 32.103 |     89 | usa 
   21 |  0.387 | 32.490 |     86 | kini 
   22 |  0.378 | 32.868 |     84 | apan 
   23 |  0.378 | 33.246 |     84 | wala 
   24 |  0.374 | 33.620 |     83 | ra 
   25 |  0.374 | 33.993 |     83 | akong 
   26 |  0.365 | 34.358 |     81 | the 
   27 |  0.360 | 34.718 |     80 | kun 
   28 |  0.356 | 35.074 |     79 | ako 
   29 |  0.351 | 35.425 |     78 | kaayo 
   30 |  0.347 | 35.771 |     77 | ilang 
   31 |  0.338 | 36.109 |     75 | to 
   32 |  0.333 | 36.442 |     74 | sila 
   33 |  0.333 | 36.775 |     74 | txtmate 
   34 |  0.320 | 37.094 |     71 | mao 
   35 |  0.320 | 37.414 |     71 | nako 
   36 |  0.311 | 37.724 |     69 | of 
   37 |  0.302 | 38.026 |     67 | and 
   38 |  0.302 | 38.328 |     67 | imong 
   39 |  0.293 | 38.620 |     65 | niya 
   40 |  0.279 | 38.899 |     62 | atong 
   41 |  0.252 | 39.151 |     56 | girl 
   42 |  0.248 | 39.399 |     55 | niini 
   43 |  0.248 | 39.646 |     55 | aron 
   44 |  0.230 | 39.876 |     51 | maong 
   45 |  0.221 | 40.096 |     49 | kanang 
   46 |  0.212 | 40.308 |     47 | tungod 
   47 |  0.212 | 40.519 |     47 | gikan 
   48 |  0.212 | 40.731 |     47 | diay 
   49 |  0.207 | 40.938 |     46 | bisan 
   50 |  0.203 | 41.140 |     45 | usab 
   51 |  0.198 | 41.338 |     44 | o 
   52 |  0.198 | 41.537 |     44 | all 
   53 |  0.194 | 41.730 |     43 | cebu 
   54 |  0.189 | 41.919 |     42 | tawo 
   55 |  0.189 | 42.108 |     42 | taga 
   56 |  0.189 | 42.297 |     42 | ganahan 
   57 |  0.180 | 42.477 |     40 | uban 
   58 |  0.180 | 42.657 |     40 | karon 
   59 |  0.176 | 42.833 |     39 | kon 
   60 |  0.176 | 43.008 |     39 | inyong 
   61 |  0.176 | 43.184 |     39 | need 
   62 |  0.171 | 43.355 |     38 | adlaw 
   63 |  0.171 | 43.526 |     38 | buotan 
   64 |  0.167 | 43.692 |     37 | coronavirus 
   65 |  0.167 | 43.859 |     37 | nila 
   66 |  0.167 | 44.025 |     37 | salamat 
   67 |  0.158 | 44.183 |     35 | ba 
   68 |  0.158 | 44.340 |     35 | kita 
   69 |  0.153 | 44.493 |     34 | maoy 
   70 |  0.149 | 44.642 |     33 | walay 
   71 |  0.144 | 44.786 |     32 | hello 
   72 |  0.140 | 44.926 |     31 | di 
   73 |  0.140 | 45.065 |     31 | sama 
   74 |  0.140 | 45.205 |     31 | mayor 
   75 |  0.135 | 45.340 |     30 | kung 
   76 |  0.135 | 45.475 |     30 | maayo 
   77 |  0.135 | 45.610 |     30 | number 
   78 |  0.131 | 45.740 |     29 | city 
   79 |  0.131 | 45.871 |     29 | staff 
   80 |  0.131 | 46.001 |     29 | my 
   81 |  0.126 | 46.127 |     28 | mas 
   82 |  0.126 | 46.253 |     28 | you 
   83 |  0.126 | 46.379 |     28 | duha 
   84 |  0.126 | 46.505 |     28 | alang 
   85 |  0.126 | 46.631 |     28 | gani 
   86 |  0.126 | 46.757 |     28 | basta 
   87 |  0.126 | 46.883 |     28 | pud 
   88 |  0.126 | 47.009 |     28 | mi 
   89 |  0.126 | 47.135 |     28 | publish 
   90 |  0.117 | 47.252 |     26 | dunay 
   91 |  0.117 | 47.369 |     26 | wa 
   92 |  0.117 | 47.486 |     26 | kining 
   93 |  0.117 | 47.603 |     26 | tanan 
   94 |  0.117 | 47.720 |     26 | daghan 
   95 |  0.117 | 47.837 |     26 | dinhi 
   96 |  0.117 | 47.954 |     26 | mobasa 
   97 |  0.113 | 48.067 |     25 | health 
   98 |  0.113 | 48.179 |     25 | for 
   99 |  0.113 | 48.292 |     25 | tanang 
  100 |  0.113 | 48.405 |     25 | relasyon 
  101 |  0.108 | 48.513 |     24 | balita 
  102 |  0.108 | 48.621 |     24 | gihimo 
  103 |  0.108 | 48.729 |     24 | nato 
  104 |  0.108 | 48.837 |     24 | years 
  105 |  0.108 | 48.945 |     24 | naa 
  106 |  0.108 | 49.053 |     24 | nimo 
  107 |  0.104 | 49.156 |     23 | maayong 
  108 |  0.104 | 49.260 |     23 | kang 
  109 |  0.104 | 49.363 |     23 | kaniya 
  110 |  0.104 | 49.467 |     23 | una 
  111 |  0.104 | 49.570 |     23 | wildflower 
  112 |  0.099 | 49.669 |     22 | ngadto 
  113 |  0.099 | 49.768 |     22 | doh 
  114 |  0.099 | 49.867 |     22 | god 
  115 |  0.099 | 49.966 |     22 | sugbo 
  116 |  0.099 | 50.065 |     22 | kagaw 
  117 |  0.099 | 50.164 |     22 | nasud 
  118 |  0.099 | 50.263 |     22 | kong 
  119 |  0.095 | 50.358 |     21 | duna 
  120 |  0.095 | 50.452 |     21 | ncov 
  121 |  0.095 | 50.547 |     21 | human 
  122 |  0.095 | 50.641 |     21 | niadtong 
  123 |  0.095 | 50.736 |     21 | old 
  124 |  0.095 | 50.830 |     21 | willing 
  125 |  0.095 | 50.925 |     21 | makigkita 
  126 |  0.090 | 51.015 |     20 | buntag 
  127 |  0.090 | 51.105 |     20 | from 
  128 |  0.090 | 51.195 |     20 | diha 
  129 |  0.090 | 51.285 |     20 | problema 
  130 |  0.090 | 51.375 |     20 | daghang 
  131 |  0.090 | 51.465 |     20 | china 
  132 |  0.090 | 51.555 |     20 | mo 
  133 |  0.090 | 51.645 |     20 | ilabi 
  134 |  0.090 | 51.735 |     20 | single 
  135 |  0.090 | 51.825 |     20 | kog 
  136 |  0.090 | 51.915 |     20 | love 
  137 |  0.090 | 52.005 |     20 | ng 
  138 |  0.086 | 52.091 |     19 | department 
  139 |  0.086 | 52.176 |     19 | samtang 
  140 |  0.086 | 52.262 |     19 | matud 
  141 |  0.086 | 52.347 |     19 | pero 
  142 |  0.086 | 52.433 |     19 | chinese 
  143 |  0.086 | 52.518 |     19 | naman 
  144 |  0.086 | 52.604 |     19 | anak 
  145 |  0.086 | 52.689 |     19 | bless 
  146 |  0.086 | 52.775 |     19 | among 
  147 |  0.086 | 52.860 |     19 | ninyo 
