
    # |      % | total% | amount | word
 ---------------------------------------
    1 |  5.402 |  5.402 | 107212 | the 
    2 |  3.572 |  8.974 |  70893 | and 
    3 |  2.795 | 11.769 |  55465 | of 
    4 |  2.677 | 14.446 |  53134 | to 
    5 |  2.189 | 16.635 |  43448 | a 
    6 |  1.927 | 18.563 |  38250 | i 
    7 |  1.638 | 20.201 |  32512 | in 
    8 |  1.294 | 21.495 |  25684 | it 
    9 |  1.201 | 22.696 |  23836 | that 
   10 |  1.156 | 23.852 |  22940 | was 
   11 |  1.077 | 24.928 |  21366 | he 
   12 |  0.970 | 25.899 |  19257 | you 
   13 |  0.888 | 26.786 |  17615 | his 
   14 |  0.867 | 27.653 |  17207 | with 
   15 |  0.826 | 28.479 |  16386 | as 
   16 |  0.792 | 29.270 |  15713 | for 
   17 |  0.727 | 29.998 |  14430 | her 
   18 |  0.722 | 30.719 |  14327 | is 
   19 |  0.676 | 31.396 |  13424 | not 
   20 |  0.672 | 32.068 |  13334 | but 
   21 |  0.666 | 32.734 |  13226 | had 
   22 |  0.606 | 33.341 |  12036 | my 
   23 |  0.594 | 33.935 |  11798 | at 
   24 |  0.580 | 34.515 |  11520 | be 
   25 |  0.568 | 35.084 |  11279 | she 
   26 |  0.565 | 35.649 |  11223 | on 
   27 |  0.509 | 36.159 |  10110 | me 
   28 |  0.508 | 36.667 |  10083 | have 
   29 |  0.490 | 37.157 |   9732 | all 
   30 |  0.467 | 37.624 |   9262 | him 
   31 |  0.465 | 38.089 |   9225 | this 
   32 |  0.463 | 38.551 |   9182 | so 
   33 |  0.443 | 38.994 |   8788 | by 
   34 |  0.401 | 39.395 |   7966 | or 
   35 |  0.397 | 39.792 |   7877 | which 
   36 |  0.385 | 40.177 |   7640 | from 
   37 |  0.383 | 40.560 |   7602 | they 
   38 |  0.342 | 40.903 |   6795 | there 
   39 |  0.338 | 41.241 |   6717 | one 
   40 |  0.334 | 41.575 |   6629 | no 
   41 |  0.333 | 41.908 |   6609 | if 
   42 |  0.323 | 42.231 |   6404 | were 
   43 |  0.322 | 42.553 |   6390 | when 
   44 |  0.322 | 42.875 |   6385 | we 
   45 |  0.306 | 43.180 |   6070 | are 
   46 |  0.301 | 43.482 |   5982 | said 
   47 |  0.283 | 43.765 |   5618 | what 
   48 |  0.281 | 44.046 |   5575 | would 
   49 |  0.261 | 44.307 |   5179 | an 
